,uigf_gacha_type,gacha_type,item_id,count,time,name,item_type,rank_type,api_id
0,200,200,11302,1,2022-04-14 22:11:30,黎明神剑,武器,3,1649945160000357586
1,200,200,14302,1,2022-04-15 17:28:47,讨龙英杰谭,武器,3,1650013560000641486
2,200,200,15302,1,2022-04-15 17:28:56,神射手之誓,武器,3,1650013560000643886
3,200,200,15302,1,2022-04-16 19:48:12,神射手之誓,武器,3,1650107160001549486
4,200,200,15302,1,2022-04-16 19:48:19,神射手之誓,武器,3,1650107160001554286
5,200,200,14402,1,2022-04-16 19:56:25,流浪乐章,武器,4,1650107160001835086
6,200,200,13303,1,2022-04-18 00:00:57,黑缨枪,武器,3,1650211560000023886
7,200,200,15304,1,2022-04-23 20:28:37,弹弓,武器,3,1650715560001048186
8,200,200,11302,1,2022-04-23 20:28:44,黎明神剑,武器,3,1650715560001051386
9,200,200,11306,1,2022-04-23 20:28:51,飞天御剑,武器,3,1650715560001052986
10,200,200,11302,1,2022-04-23 20:28:57,黎明神剑,武器,3,1650715560001056386
11,200,200,15301,1,2022-04-23 20:29:05,鸦羽弓,武器,3,1650715560001059286
12,200,200,11306,1,2022-04-23 20:51:15,飞天御剑,武器,3,1650715560002025086
13,200,200,15304,1,2022-04-27 23:48:11,弹弓,武器,3,1651071960001462186
14,200,200,10000036,1,2022-04-27 23:48:18,重云,角色,4,1651071960001465986
15,200,200,15304,1,2022-05-04 02:17:32,弹弓,武器,3,1651601160000218986
16,200,200,11306,1,2022-05-07 19:43:51,飞天御剑,武器,3,1651921560001234186
17,200,200,14301,1,2022-05-18 22:57:45,魔导绪论,武器,3,1652882760002487986
18,301,301,11302,1,2022-05-21 23:39:27,黎明神剑,武器,3,1653145560001226386
19,301,301,11306,1,2022-05-21 23:39:27,飞天御剑,武器,3,1653145560001226486
20,301,301,11302,1,2022-05-21 23:39:27,黎明神剑,武器,3,1653145560001226586
21,301,301,13303,1,2022-05-21 23:39:27,黑缨枪,武器,3,1653145560001226686
22,301,301,13303,1,2022-05-21 23:39:27,黑缨枪,武器,3,1653145560001226786
23,301,301,14304,1,2022-05-21 23:39:27,翡玉法球,武器,3,1653145560001226886
24,301,301,14302,1,2022-05-21 23:39:27,讨龙英杰谭,武器,3,1653145560001226986
25,301,301,12302,1,2022-05-21 23:39:27,沐浴龙血的剑,武器,3,1653145560001227086
26,301,301,10000053,1,2022-05-21 23:39:27,早柚,角色,4,1653145560001227186
27,301,301,11302,1,2022-05-21 23:39:27,黎明神剑,武器,3,1653145560001227286
28,301,301,11302,1,2022-05-21 23:39:52,黎明神剑,武器,3,1653145560001237786
29,301,301,12302,1,2022-05-21 23:39:52,沐浴龙血的剑,武器,3,1653145560001237886
30,301,301,10000020,1,2022-05-21 23:39:52,雷泽,角色,4,1653145560001237986
31,301,301,15304,1,2022-05-21 23:39:52,弹弓,武器,3,1653145560001238086
32,301,301,14301,1,2022-05-21 23:39:52,魔导绪论,武器,3,1653145560001238186
33,301,301,12301,1,2022-05-21 23:39:52,铁影阔剑,武器,3,1653145560001238286
34,301,301,14304,1,2022-05-21 23:39:52,翡玉法球,武器,3,1653145560001238386
35,301,301,13303,1,2022-05-21 23:39:52,黑缨枪,武器,3,1653145560001238486
36,301,301,14302,1,2022-05-21 23:39:52,讨龙英杰谭,武器,3,1653145560001238586
37,301,301,15301,1,2022-05-21 23:39:52,鸦羽弓,武器,3,1653145560001238686
38,200,200,12302,1,2022-06-21 17:04:38,沐浴龙血的剑,武器,3,1655802360000107486
39,301,301,15301,1,2022-07-13 13:12:47,鸦羽弓,武器,3,1657688760010354086
40,301,301,12305,1,2022-07-13 13:12:47,以理服人,武器,3,1657688760010354186
41,301,301,13407,1,2022-07-13 13:12:47,西风长枪,武器,4,1657688760010354286
42,301,301,10000050,1,2022-07-13 13:12:47,托马,角色,4,1657688760010354386
43,301,301,15304,1,2022-07-13 13:12:47,弹弓,武器,3,1657688760010354486
44,301,301,14304,1,2022-07-13 13:12:47,翡玉法球,武器,3,1657688760010354586
45,301,301,11301,1,2022-07-13 13:12:47,冷刃,武器,3,1657688760010354686
46,301,301,15301,1,2022-07-13 13:12:47,鸦羽弓,武器,3,1657688760010354786
47,301,301,14304,1,2022-07-13 13:12:47,翡玉法球,武器,3,1657688760010354886
48,301,301,13303,1,2022-07-13 13:12:47,黑缨枪,武器,3,1657688760010354986
49,301,301,13303,1,2022-07-13 13:12:57,黑缨枪,武器,3,1657688760010477086
50,301,301,12305,1,2022-07-13 13:12:57,以理服人,武器,3,1657688760010477186
51,301,301,10000047,1,2022-07-13 13:12:57,枫原万叶,角色,5,1657688760010477286
52,301,301,10000059,1,2022-07-13 13:12:57,鹿野院平藏,角色,4,1657688760010477386
53,301,301,15302,1,2022-07-13 13:12:57,神射手之誓,武器,3,1657688760010477486
54,301,301,11302,1,2022-07-13 13:12:57,黎明神剑,武器,3,1657688760010477586
55,301,301,11302,1,2022-07-13 13:12:57,黎明神剑,武器,3,1657688760010477686
56,301,301,15304,1,2022-07-13 13:12:57,弹弓,武器,3,1657688760010477786
57,301,301,10000048,1,2022-07-13 13:12:57,烟绯,角色,4,1657688760010477886
58,301,301,11302,1,2022-07-13 13:12:57,黎明神剑,武器,3,1657688760010477986
59,200,200,14301,1,2022-07-13 16:20:38,魔导绪论,武器,3,1657699560004854186
60,200,200,12305,1,2022-07-13 16:20:45,以理服人,武器,3,1657699560004875486
61,200,200,12301,1,2022-07-14 02:53:02,铁影阔剑,武器,3,1657735560001839586
62,200,200,12305,1,2022-07-14 02:53:02,以理服人,武器,3,1657735560001839686
63,200,200,14304,1,2022-07-14 02:53:02,翡玉法球,武器,3,1657735560001839786
64,200,200,12405,1,2022-07-14 02:53:02,雨裁,武器,4,1657735560001839886
65,200,200,15301,1,2022-07-14 02:53:02,鸦羽弓,武器,3,1657735560001839986
66,200,200,11306,1,2022-07-14 02:53:02,飞天御剑,武器,3,1657735560001840086
67,200,200,14302,1,2022-07-14 02:53:02,讨龙英杰谭,武器,3,1657735560001840186
68,200,200,11306,1,2022-07-14 02:53:02,飞天御剑,武器,3,1657735560001840286
69,200,200,14302,1,2022-07-14 02:53:02,讨龙英杰谭,武器,3,1657735560001840386
70,200,200,12301,1,2022-07-14 02:53:02,铁影阔剑,武器,3,1657735560001840486
71,200,200,13303,1,2022-07-26 18:20:07,黑缨枪,武器,3,1658829960000551686
72,200,200,11306,1,2022-07-26 18:20:19,飞天御剑,武器,3,1658829960000558886
73,200,200,11302,1,2022-08-11 23:13:59,黎明神剑,武器,3,1660230360000439986
74,200,200,10000014,1,2022-09-06 14:57:52,芭芭拉,角色,4,1662444360001176886
75,200,200,14304,1,2022-09-07 18:13:41,翡玉法球,武器,3,1662545160000310286
76,200,200,11301,1,2022-09-19 18:05:16,冷刃,武器,3,1663581960000123086
77,200,200,12301,1,2022-09-19 18:05:25,铁影阔剑,武器,3,1663581960000126586
78,301,400,15304,1,2022-09-19 18:06:03,弹弓,武器,3,1663581960000140086
79,301,400,13303,1,2022-09-19 18:06:03,黑缨枪,武器,3,1663581960000140186
80,301,400,12302,1,2022-09-19 18:06:03,沐浴龙血的剑,武器,3,1663581960000140286
81,301,400,15302,1,2022-09-19 18:06:03,神射手之誓,武器,3,1663581960000140386
82,301,400,15301,1,2022-09-19 18:06:03,鸦羽弓,武器,3,1663581960000140486
83,301,400,11306,1,2022-09-19 18:06:03,飞天御剑,武器,3,1663581960000140586
84,301,400,12301,1,2022-09-19 18:06:03,铁影阔剑,武器,3,1663581960000140686
85,301,400,10000043,1,2022-09-19 18:06:03,砂糖,角色,4,1663581960000140786
